zip,zip_type,primary_city,county,timezone,area_codes,latitude,longitude,world_region,country,decommissioned,estimated_population,City,CriteriaID,State,StateAbrv,DMARegion,DMARegionCode
01138,POBOX,Springfield,HampdenCounty,America/New_York,413,42.11,-72.53,NA,US,0,509,Springfield,1018421,Massachusetts,MA,"Springfield-Holyoke, MA",543
01139,POBOX,Springfield,HampdenCounty,America/New_York,413,42.11,-72.53,NA,US,0,0,Springfield,1018421,Massachusetts,MA,"Springfield-Holyoke, MA",543
01144,STANDARD,Springfield,HampdenCounty,America/New_York,413,42.11,-72.53,NA,US,0,0,Springfield,1018421,Massachusetts,MA,"Springfield-Holyoke, MA",543
01151,STANDARD,IndianOrchard,HampdenCounty,America/New_York,413,42.15,-72.51,NA,US,0,6080,IndianOrchard,1018257,Massachusetts,MA,"Springfield-Holyoke, MA",543
01152,STANDARD,Springfield,HampdenCounty,America/New_York,413,42.11,-72.53,NA,US,0,0,Springfield,1018421,Massachusetts,MA,"Springfield-Holyoke, MA",543
01195,STANDARD,Springfield,HampdenCounty,America/New_York,413,42.1,-72.58,NA,US,1,0,Springfield,1018421,Massachusetts,MA,"Springfield-Holyoke, MA",543
01199,UNIQUE,Springfield,HampdenCounty,America/New_York,413,42.11,-72.53,NA,US,0,0,Springfield,1018421,Massachusetts,MA,"Springfield-Holyoke, MA",543
01201,STANDARD,Pittsfield,BerkshireCounty,America/New_York,413,42.45,-73.26,NA,US,0,36002,Pittsfield,1018364,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01202,POBOX,Pittsfield,BerkshireCounty,America/New_York,413,42.45,-73.26,NA,US,0,1186,Pittsfield,1018364,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01203,POBOX,Pittsfield,BerkshireCounty,America/New_York,413,42.45,-73.26,NA,US,0,0,Pittsfield,1018364,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01220,STANDARD,Adams,BerkshireCounty,America/New_York,413,42.62,-73.11,NA,US,0,6993,Adams,1018090,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01220,STANDARD,Adams,BerkshireCounty,America/New_York,413,42.62,-73.11,NA,US,0,6993,Adams,9051495,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01222,STANDARD,AshleyFalls,BerkshireCounty,America/New_York,413,42.05,-73.33,NA,US,0,681,AshleyFalls,1018102,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01223,STANDARD,Becket,BerkshireCounty,America/New_York,413,42.33,-73.07,NA,US,0,1964,Becket,1018114,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01224,STANDARD,Berkshire,BerkshireCounty,America/New_York,413,42.51,-73.19,NA,US,0,0,Berkshire,1018119,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
